CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Botanical Garden,New York Botanical Garden,200th Street and Kazimiroff Blvd,10458,(718) 817-8700,http://www.nybg.org/,Not Available
Botanical Garden,Brooklyn Botanic Garden,1000 Washington Ave,11225,(718) 623-7200,http://www.bbg.org/,Not Available
Botanical Garden,Queens Botanical Garden,43-50 Main Street,11355,(718) 886-3800,http://www.queensbotanical.org/,Not Available
Botanical Garden,Snug Harbor Cultural Center and Botanical Garden,1000 Richmond Terrace,10310,(718) 273-8200,http://www.snug-harbor.org/,Not Available
