CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Restaurant,COLUMBUS CITIZENS FOUNDATION,"EAST   69 STREET, Manhattan",10021,Not Available,Not Available,Not Available
Restaurant,Fairfield Inn & Suites,"HENRY STREET, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,G-KNOWS CHEESESTEAKS,"FOREST AVENUE, Staten Island",10302,Not Available,Not Available,Not Available
Restaurant,MARLOW AND SONS,"BROADWAY, Brooklyn",11249,Not Available,Not Available,Not Available
Restaurant,I & R DELI,"15 AVENUE, Brooklyn",11228,Not Available,Not Available,Not Available
Restaurant,THE UGLY DUCKLING,"3 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,CINEMA VILLAGE,"EAST   12 STREET, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,PATRICIA'S,"MORRIS PARK AVENUE, Bronx",10461,Not Available,Not Available,Not Available
Restaurant,WHITE CASTLE,"NORTHERN BOULEVARD, Queens",11372,Not Available,Not Available,Not Available
Restaurant,PLANT MILK DELI STORE,"MASPETH AVE, Queens",11378,Not Available,Not Available,Not Available
Restaurant,FARM TO BURGER,"WEST   40 STREET, Manhattan",10018,Not Available,Not Available,Not Available
Restaurant,QUEEN BAKERY II,"CENTRE STREET, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,AL VAPORETTO,"EAST   81 STREET, Manhattan",10028,Not Available,Not Available,Not Available
Restaurant,CC RESTAURANT,"106TH AVE, Queens",11433,Not Available,Not Available,Not Available
Restaurant,YOSHI TRADITIONAL JAPANESE,"AVENUE T, Brooklyn",11234,Not Available,Not Available,Not Available
Restaurant,LA FLOR DEL PARAISO,"JAMAICA AVE, Queens",11421,Not Available,Not Available,Not Available
Restaurant,ENERGY FUEL,"4 AVENUE, Brooklyn",11209,Not Available,Not Available,Not Available
Restaurant,PANEORAMA BAKERY,"JAMAICA AVE, Queens",11421,Not Available,Not Available,Not Available
Restaurant,BLUE SMOKE,"VESEY STREET, Manhattan",10282,Not Available,Not Available,Not Available
Restaurant,YIA YIA'S TAVERNA,"FLUSHING AVENUE, Brooklyn",11237,Not Available,Not Available,Not Available
Restaurant,OKUDA,"WEST   17 STREET, Manhattan",10011,Not Available,Not Available,Not Available
Restaurant,NEW CHEF HONG KITCHEN,"VICTORY BOULEVARD, Staten Island",10301,Not Available,Not Available,Not Available
Restaurant,ELLIE'S DINER & RESTAURANT,"METROPOLITAN OVAL, Bronx",10462,Not Available,Not Available,Not Available
Restaurant,WHOOPIE COMPANY,"WEST   42 STREET, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,GREAT WALL CHINESE RESTAURANT,"QUEENS BLVD, Queens",11375,Not Available,Not Available,Not Available
Restaurant,EQX ROCKEFELLER CAFE,"ROCKEFELLER PLAZA, Manhattan",10111,Not Available,Not Available,Not Available
Restaurant,KILLMEYER'S OLD BAVARIA INN.,"ARTHUR KILL ROAD, Staten Island",10309,Not Available,Not Available,Not Available
Restaurant,652 LIN'S GARDEN,"SENECA AVENUE, Queens",11385,Not Available,Not Available,Not Available
Restaurant,MARATHON COFFEE,"3 AVENUE, Manhattan",10128,Not Available,Not Available,Not Available
Restaurant,LIUJI SZECHUAN NOODLE HOUSE,"COLLEGE POINT BLVD, Queens",11356,Not Available,Not Available,Not Available
Restaurant,THE 13TH STEP,"2 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,NATHAN'S FAMOUS,"MYRTLE AVENUE, Brooklyn",11205,Not Available,Not Available,Not Available
Restaurant,ARTURO'S,"WEST HOUSTON STREET, Manhattan",10012,Not Available,Not Available,Not Available
Restaurant,YANKY'S PIZZA,"16 AVENUE, Brooklyn",11204,Not Available,Not Available,Not Available
Restaurant,LA CUCHARA PREMIUM SERVICES,"WEST  207 STREET, Manhattan",10034,Not Available,Not Available,Not Available
Restaurant,SONNIER & CASTLE,"WEST   48 STREET, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,DOMINO'S,"ROCKAWAY BLVD, Queens",11420,Not Available,Not Available,Not Available
Restaurant,MEERA DELI,"44 DRIVE, Queens",11101,Not Available,Not Available,Not Available
Restaurant,DOMINO'S,"PENNSYLVANIA AVENUE, Brooklyn",11207,Not Available,Not Available,Not Available
Restaurant,TABLE 87,"3 AVENUE, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,RIBALTA MO,"PENN PLAZA, Manhattan",10121,Not Available,Not Available,Not Available
Restaurant,TEXAS CHICKEN & BURGERS,"3 AVENUE, Bronx",10454,Not Available,Not Available,Not Available
Restaurant,SALEM'S HOUR,"NOSTRAND AVENUE, Brooklyn",11225,Not Available,Not Available,Not Available
Restaurant,BROOKLYN MADE,"TROUTMAN STREET, Brooklyn",11237,Not Available,Not Available,Not Available
Restaurant,PAD THAI NOODLE LOUNGE,"8 AVENUE, Manhattan",10011,Not Available,Not Available,Not Available
Restaurant,DUNKIN,"METROPOLITAN AVENUE, Brooklyn",11211,Not Available,Not Available,Not Available
Restaurant,MEXICAN GRILL,"HUNTS POINT TERMINAL MARKET, Bronx",10474,Not Available,Not Available,Not Available
Restaurant,WANGS,"UNION STREET, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,EL PRESIDENTE # 2 RESTAURANT,"EAST  208 STREET, Bronx",10467,Not Available,Not Available,Not Available
Restaurant,GREAT WALL RESTAURANT,"32ND AVE, Queens",11358,Not Available,Not Available,Not Available
Restaurant,DOWNTOWN COFFEE HOUSE,"JEFFERSON STREET, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,Diane’s,"GRAHAM AVENUE, Brooklyn",11211,Not Available,Not Available,Not Available
Restaurant,EARLY EDITION,"BROADWAY, Manhattan",10001,Not Available,Not Available,Not Available
Restaurant,WOORI NOODLE HOUSE,"NORTHERN BLVD, Queens",11361,Not Available,Not Available,Not Available
Restaurant,DESI GRILL,"WYCKOFF AVENUE, Brooklyn",11237,Not Available,Not Available,Not Available
Restaurant,SWEET CHICK,"BEDFORD AVENUE, Brooklyn",11249,Not Available,Not Available,Not Available
Restaurant,ROMANTICOS,"ROOSEVELT AVE, Queens",11372,Not Available,Not Available,Not Available
